Row Labels,ACMGLA,ACMMAR,ADEFAS,AMSMEN,ANAARV,BLOCRO,BRANIG,BRATOU,CALCAT,CALCIL,CALEXS,CALMAC,CALSPL,CALWED,CAMCAL,CAMMIC,CASEXS,Castilleja,CEACRA,CENMEL,CHAGLA,CLAPAR,CLAPUR,CRY,DEIFAS,DICCAP,EMMPEN,ENCCAL,ENCFAR,ERICAL,ERICON,ERIFAS,ERIFOL,EROBOT,EROBRA,EROCIC,EROMOS,ESCCAL,EUCCHR,FOEVUL,GILANG,HESWHI,HIRINC,HYPGLA,KECANT,LASCAL,LUPBIC,LUPSUC,LUPTRE,LUPTRU,MALFAS,MALSAX,MARMAC,MED,MEDPOL,MELIND,MICLIN,MIRLAE,OSMTEN,PHACIC,PHACRY,PHAPAR,PHOAUR,PSECAL,RAFCAL,ROMCOU,SALAPI,SALCOL,SALMAC,SALMEL,SANARG,SCRCAL,SILGAL,SILMAR,SISBEL,SOLXAN,SONASP,SONOLE,TRILAN,unk yellow succ,unknown white,Grand Total
IRC01_2021_1,,,,,,,,,,,,,,,,,,,,,,7,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
IRC01_2021_2,,,,,,,,,,,,,,,,,,,,,,20,,,,1,,,,,,,,,,106,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382
IRC01_2021_3,,,,,20,,0,,1,,,,,,,,,,,,,,,,,14,,,,,,,,,,29,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,363
IRC01_2022_1,,,,,,,,,,7,,,,,,,0,,,,,,,,,16,,,,,,,,,,103,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,280
IRC01_2022_2,,,,,0,,,,0,0,,0,,,,,,,,,,,,,,12,,,,,,,,,,157,,,67,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,17,,,,,,1,,1,,,,261
IRC01_2022_3,,,,,4,24,0,,,,,5,,,,,,0,,,,,,,,1,,,,,0,,,,,13,,,7,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,74,,,0,,,10,,,,,,138
IRC08_2021_1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,110,,,279,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,401
IRC08_2021_2,,,,,,,137,,,,,0,0,,,2,,,,,,,,,,,0,,,,,,,,,71,,,171,,,,,,,,,,,,,,,0,0,,,10,,2,,17,,,,,,0,,,,,,,,,,0,,,,410
IRC08_2021_3,,,,,,,91,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,1,,,,,,,,,,,,,,,,,136
IRC08_2022_1,,,,,,,65,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,52,,,0,,,,,,,,,,,,,,,,,,,7,,0,,0,,,,,,,,28,,,,,,,,,,,,167
